,importance,stddev,p_value,n,p99_high,p99_low
log_market_value_current_eur,0.5955481715344662,0.028749015720693917,6.496170365916232e-07,5,0.6547427922569993,0.536353550811933
age_months,0.5780941907615615,0.018061013005705052,1.1418005498457518e-07,5,0.6152820661700363,0.5409063153530868
competition_id,0.06705837867726658,0.006252186658331038,8.963546264313518e-06,5,0.07993171742117314,0.05418503993336002
contract_length_months,0.02365666000521338,0.0030297404184132172,3.15900664078979e-05,5,0.02989493740218892,0.01741838260823784
contract_recency_months,0.019584578317606672,0.004682464600966157,0.00036393642069220864,5,0.029225837649534472,0.009943318985678873
contract_months_remaining,0.010613016716487756,0.002314870590761018,0.0002551963199819852,5,0.015379367257776382,0.005846666175199129
competition_country,0.009543177138814496,0.0011268562263908215,2.2900894827728084e-05,5,0.011863389683761395,0.007222964593867598
main_position,0.009386828835122008,0.0022340602310102872,0.000357582989918503,5,0.013986789728766012,0.0047868679414780025
log_release_clause_eur,0.0030468289740976707,0.001402277285831389,0.0041442405210718345,5,0.005934137287156284,0.00015952066103905793
nationality,0.0027416705587005818,0.0028443829942324814,0.04869922854673297,5,0.008598294457376126,-0.003114953339974963
status,0.0011867991547201307,0.0004908591181235523,0.002834071746057089,5,0.002197484863330521,0.0001761134461097404
has_market_value,9.00703008752668e-06,2.717324795243277e-05,0.24986806324494507,5,6.495712319578506e-05,-4.69430630207317e-05
has_contract_dates,0.0,0.0,0.5,5,0.0,0.0
has_release_clause,-0.00016167097245807228,0.0007654426686533998,0.6693316190278218,5,0.0014143860618412558,-0.0017377280067574002
