feature,AutoGluon,FLAML 2h,Ridge,mean_importance
log_market_value_current_eur,0.4389014337628569,0.2341662180307988,0.4804059115518271,0.38449118778182756
age_months,0.43465028399424743,0.17668844360501018,0.41539065331826736,0.34224312697250836
competition_id,0.05792959662856952,0.12035569926738884,0.003039688005003268,0.06044166130032055
contract_length_months,0.021816764385489677,0.06383550491533388,0.060893223641068785,0.04884849764729745
has_release_clause,0.0015081328827406997,0.13490259038749947,0.0,0.045470241090080056
contract_recency_months,0.014569307101730421,0.03457610266235991,0.038446174519390065,0.02919719476116013
has_market_value,2.4804843862538222e-05,0.07790767599889105,0.0,0.025977493614251196
log_release_clause_eur,0.006216544839028726,0.05984209460784129,0.0,0.022019546482290004
competition_country,0.013016304292915483,0.02302589177299367,0.0,0.01201406535530305
main_position,0.008126509044204944,0.0232527947904652,0.001345785629526805,0.010908363154732316
status,0.00038324753295619125,0.03144712642142874,0.0,0.010610124651461642
nationality,0.002857070691397631,0.019999857539989032,0.00047856333491656344,0.007778497188767742
