Model,MAE,MSE,RMSE,R2,RMSLE,MAPE
lightgbm,0.4282,0.3189,0.5643,0.7391,0.0384,0.031
gbr,0.4326,0.3209,0.5663,0.7376,0.0385,0.0313
xgboost,0.4443,0.3414,0.5839,0.7206,0.0397,0.0322
rf,0.4456,0.3455,0.5873,0.7174,0.04,0.0323
et,0.4449,0.3492,0.5905,0.7144,0.0402,0.0322
lr,0.4776,0.4034,0.6343,0.67,0.0435,0.0347
ridge,0.4776,0.4034,0.6343,0.67,0.0435,0.0347
lar,0.4776,0.4034,0.6343,0.67,0.0435,0.0347
br,0.4777,0.4034,0.6343,0.67,0.0435,0.0347
ard,0.4766,0.4038,0.6345,0.6697,0.0435,0.0346
huber,0.4752,0.4051,0.6354,0.6686,0.0437,0.0346
tr,0.4778,0.4072,0.637,0.6669,0.0438,0.0347
ada,0.533,0.4586,0.6771,0.6252,0.0459,0.0384
ransac,0.5177,0.4726,0.6865,0.6132,0.047,0.0375
svm,0.6531,0.6734,0.8205,0.45,0.0553,0.0471
dt,0.6224,0.6775,0.8223,0.4451,0.056,0.045
omp,0.7182,0.8105,0.9002,0.338,0.061,0.052
knn,0.7092,0.8198,0.9052,0.3303,0.0608,0.0512
par,0.8232,1.1328,1.0182,0.0631,0.0689,0.0593
en,0.8452,1.113,1.0549,0.0911,0.0711,0.0612
llar,0.8868,1.2305,1.1092,-0.0049,0.0746,0.0642
lasso,0.8868,1.2305,1.1092,-0.0049,0.0746,0.0642
dummy,0.8868,1.2305,1.1092,-0.0049,0.0746,0.0642
kr,3.0324,13.7341,3.7055,-10.2182,0.2875,0.2169
